list-d-m,12,32,1,1152,1676000,1454
list-il-m,12,32,1,1152,4608282,4000
list-dl-m,12,32,1,1152,5011628,4350
list-i-s,12,32,1,1152,4888077,4243
list-d-s,12,32,1,1152,8232954,7146
list-il-s,12,32,1,1152,39402997,34203
list-dl-s,12,32,1,1152,37636815,32670
list-none-m,1,1000,1,3000,6455015,2151
list-none-m,1,1000,1,3000,6436990,2145
list-none-m,1,1000,1,3000,6500611,2166
list-none-s,1,1000,1,3000,6445045,2148
list-none-s,1,1000,1,3000,6420508,2140
list-none-s,1,1000,1,3000,6440880,2146
list-none-s,1,1000,1,3000,6394990,2131
list-none-none,1,10,1,30,160793,5359
list-none-none,1,100,1,300,230205,767
list-none-none,1,1000,1,3000,6445132,2148
list-none-none,1,10000,1,30000,688425388,22947
list-none-none,1,20000,1,60000,542496933,9041
list-none-none,2,1,1,6,310783,51797
list-none-none,2,100,1,600,1037078,1728
list-none-none,2,1000,1,6000,57889315,9648
list-none-none,2,10000,1,60000,625892460,10431
list-i-none,2,1,1,6,275712,45952
list-id-none,2,1,1,6,279957,46659
list-idl-none,2,1,1,6,207367,34561
list-dl-none,2,1,1,6,257697,42949
list-d-none,2,1,1,6,218940,36490
list-il-none,2,1,1,6,302791,50465
list-i-m,2,1,1,6,252504,42084
list-id-m,2,1,1,6,276905,46150
list-idl-m,2,1,1,6,244968,40828
list-dl-m,2,1,1,6,303990,50665
list-d-m,2,1,1,6,252464,42077
list-l-m,2,1,1,6,272341,45390
list-il-m,2,1,1,6,265650,44275
list-i-s,2,1,1,6,277575,46262
list-id-s,2,1,1,6,244932,40822
list-idl-s,2,1,1,6,264641,44106
list-dl-s,2,1,1,6,293637,48939
list-d-s,2,1,1,6,213421,35570
list-l-s,2,1,1,6,212986,35497
list-il-s,2,1,1,6,241827,40304
list-i-none,2,2,1,12,241990,20165
list-id-none,2,2,1,12,259364,21613
list-dl-none,2,2,1,12,240048,20004
list-d-none,2,2,1,12,256970,21414
list-l-none,2,2,1,12,203040,16920
list-il-none,2,2,1,12,226639,18886
list-i-m,2,2,1,12,173387,14448
list-id-m,2,2,1,12,252083,21006
list-idl-m,2,2,1,12,288073,24006
list-dl-m,2,2,1,12,235568,19630
list-d-m,2,2,1,12,262094,21841
list-l-m,2,2,1,12,270565,22547
list-il-m,2,2,1,12,229311,19109
list-i-s,2,2,1,12,207864,17322
list-id-s,2,2,1,12,235042,19586
list-idl-s,2,2,1,12,271032,22586
list-dl-s,2,2,1,12,257476,21456
list-d-s,2,2,1,12,227671,18972
list-l-s,2,2,1,12,268690,22390
list-il-s,2,2,1,12,218147,18178
list-idl-none,2,4,1,24,224771,9365
list-dl-none,2,4,1,24,276223,11509
list-d-none,2,4,1,24,218965,9123
list-l-none,2,4,1,24,295449,12310
list-il-none,2,4,1,24,283324,11805
list-i-m,2,4,1,24,261127,10880
list-id-m,2,4,1,24,248056,10335
list-idl-m,2,4,1,24,259770,10823
list-dl-m,2,4,1,24,258255,10760
list-d-m,2,4,1,24,200209,8342
list-l-m,2,4,1,24,258039,10751
list-il-m,2,4,1,24,260345,10847
list-i-s,2,4,1,24,230240,9593
list-id-s,2,4,1,24,241459,10060
list-idl-s,2,4,1,24,266612,11108
list-dl-s,2,4,1,24,217874,9078
list-d-s,2,4,1,24,238247,9926
list-l-s,2,4,1,24,230126,9588
list-il-s,2,4,1,24,275317,11471
list-i-none,2,8,1,48,257494,5364
list-l-none,2,8,1,48,321831,6704
list-il-none,2,8,1,48,329843,6871
list-i-m,2,8,1,48,298479,6218
list-id-m,2,8,1,48,249647,5200
list-idl-m,2,8,1,48,368407,7675
list-dl-m,2,8,1,48,292358,6090
list-d-m,2,8,1,48,212822,4433
list-l-m,2,8,1,48,303980,6332
list-il-m,2,8,1,48,305692,6368
list-i-s,2,8,1,48,264560,5511
list-id-s,2,8,1,48,267833,5579
list-idl-s,2,8,1,48,352122,7335
list-dl-s,2,8,1,48,305865,6372
list-d-s,2,8,1,48,280494,5843
list-l-s,2,8,1,48,282699,5889
list-il-s,2,8,1,48,325640,6784
list-l-none,2,16,1,96,511326,5326
list-il-none,2,16,1,96,538156,5605
list-i-m,2,16,1,96,287331,2993
list-id-m,2,16,1,96,295529,3078
list-idl-m,2,16,1,96,485596,5058
list-dl-m,2,16,1,96,463400,4827
list-d-m,2,16,1,96,258568,2693
list-l-m,2,16,1,96,424192,4418
list-il-m,2,16,1,96,445892,4644
list-i-s,2,16,1,96,288797,3008
list-id-s,2,16,1,96,312263,3252
list-idl-s,2,16,1,96,557798,5810
list-dl-s,2,16,1,96,441532,4599
list-d-s,2,16,1,96,315182,3283
list-l-s,2,16,1,96,398023,4146
list-il-s,2,16,1,96,504623,5256
list-dl-none,2,32,1,192,1367001,7119
list-d-none,2,32,1,192,327533,1705
list-il-none,2,32,1,192,1465487,7632
list-i-m,2,32,1,192,310345,1616
list-id-m,2,32,1,192,421922,2197
list-idl-m,2,32,1,192,971922,5062
list-dl-m,2,32,1,192,884455,4606
list-d-m,2,32,1,192,317829,1655
list-l-m,2,32,1,192,771905,4020
list-il-m,2,32,1,192,851798,4436
list-i-s,2,32,1,192,336469,1752
list-id-s,2,32,1,192,433667,2258
list-idl-s,2,32,1,192,1264361,6585
list-dl-s,2,32,1,192,1167353,6079
list-d-s,2,32,1,192,416688,2170
list-l-s,2,32,1,192,1010823,5264
list-il-s,2,32,1,192,1141528,5945
list-i-m,12,32,1,1152,2085885,1810
list-d-m,12,32,1,1152,2024103,1757
list-il-m,12,32,1,1152,4776387,4146
list-dl-m,12,32,1,1152,4630015,4019
list-i-s,12,32,1,1152,8897622,7723
list-d-s,12,32,1,1152,9005890,7817
list-il-s,12,32,1,1152,36353523,31556
list-dl-s,12,32,1,1152,40336704,35014
list-none-m,2,1000,1,6000,13106766,2184
list-none-m,2,1000,1,6000,12932285,2155
list-none-m,2,1000,1,6000,12947996,2157
list-none-s,2,1000,1,6000,30496242,5082
list-none-s,2,1000,1,6000,33507958,5584
list-none-s,2,1000,1,6000,36340007,6056
list-none-s,2,1000,1,6000,30076759,5012
list-none-none,1,10,1,30,198962,6632
list-none-none,1,100,1,300,259944,866
list-none-none,1,1000,1,3000,6420470,2140
list-none-none,1,10000,1,30000,677864235,22595
list-none-none,1,20000,1,60000,533699034,8894
list-none-none,4,1,1,12,600625,50052
list-none-none,4,1000,1,12000,139914871,11659
list-id-none,4,1,1,12,462343,38528
list-idl-none,4,1,1,12,547801,45650
list-dl-none,4,1,1,12,452353,37696
list-l-none,4,1,1,12,538611,44884
list-i-m,4,1,1,12,381102,31758
list-id-m,4,1,1,12,523337,43611
list-idl-m,4,1,1,12,528068,44005
list-dl-m,4,1,1,12,444728,37060
list-d-m,4,1,1,12,421991,35165
list-l-m,4,1,1,12,446370,37197
list-il-m,4,1,1,12,528502,44041
list-i-s,4,1,1,12,428542,35711
list-id-s,4,1,1,12,543141,45261
list-idl-s,4,1,1,12,478628,39885
list-dl-s,4,1,1,12,456644,38053
list-d-s,4,1,1,12,514288,42857
list-l-s,4,1,1,12,400726,33393
list-il-s,4,1,1,12,440592,36716
list-i-none,4,2,1,24,485472,20228
list-id-none,4,2,1,24,522779,21782
list-dl-none,4,2,1,24,484982,20207
list-d-none,4,2,1,24,469487,19561
list-il-none,4,2,1,24,502658,20944
list-i-m,4,2,1,24,485426,20226
list-id-m,4,2,1,24,488372,20348
list-idl-m,4,2,1,24,519874,21661
list-dl-m,4,2,1,24,454909,18954
list-d-m,4,2,1,24,493702,20570
list-l-m,4,2,1,24,474093,19753
list-il-m,4,2,1,24,490368,20432
list-i-s,4,2,1,24,463469,19311
list-id-s,4,2,1,24,485287,20220
list-idl-s,4,2,1,24,484628,20192
list-dl-s,4,2,1,24,460627,19192
list-d-s,4,2,1,24,503198,20966
list-l-s,4,2,1,24,456159,19006
list-il-s,4,2,1,24,430296,17929
list-d-none,4,4,1,48,473184,9858
list-l-none,4,4,1,48,487352,10153
list-il-none,4,4,1,48,486692,10139
list-i-m,4,4,1,48,423233,8817
list-id-m,4,4,1,48,472753,9849
list-idl-m,4,4,1,48,461828,9621
list-dl-m,4,4,1,48,561204,11691
list-d-m,4,4,1,48,460356,9590
list-l-m,4,4,1,48,433731,9036
